Location,Code,Seq Result,Sample Time,County Location
Bedford,M64ii,M. gamsii,R8,W
Bedford,M63i,M. exigua,R8,W
Bedford,M10iii,M. elongata,V1,W
Bedford,M10iv,M. alpina,V1,W
Bradford,S54ii,M. alpina,ST,N
Bradford,S54iv,M. elongata,ST,N
Bradford,S58ii,M. elongata,ST,N
Bradford,S58iii,M. elongata,ST,N
Bucks,M11i,M. gamsii,V1,S
Bucks,M11iii,M. elongata,V1,S
Bucks,M11vi,M. sarnyensis,V1,S
Butler,M62ii,M. elongata,R8,W
Butler,M62iii,M. elongata,R8,W
Butler,M61ii,M. alpina,R8,W
Butler,M20i,M. elongata,V1,W
Butler,M19i,M. alpina,V1,W
Cambria,M54i,M. exigua,R8,W
Cambria,M53i,M. exigua,R8,W
Cambria,M34ii,M. exigua,V1,W
Cambria,M34iii,M. exigua,V1,W
Centre,M79ii,M. gamsii,PH,N
Centre,M38i,M. ambigua,R1,N
Centre,M38iii,M. elongata,R1,N
Centre,M38iv,M. alpina,R1,N
Centre,M38v,M. ambigua,R1,N
Centre,M38viii,M. ambigua,R1,N
Centre,M37i,M. alpina,R1,N
Centre,M37iv,M. gamsii,R1,N
Centre,M37v,M. alpina,R1,N
Centre,M37vii,M. exigua,R1,N
Centre,M46i,M. elongata,R6,N
Centre,M46ii,M. alpina,R6,N
Centre,M46iii,M. exigua,R6,N
Centre,M46v,M. alpina,R6,N
Centre,M45iii,M. alpina,R6,N
Centre,M45iv,M. alpina,R6,N
Centre,M45v,M. alpina,R6,N
Dauphin,M72i,M. elongata,PH,S
Dauphin,M72ii,M. wolfii,PH,S
Dauphin,M78ii,M. elongata,PH,S
Dauphin,M77i,M. alpina,PH,S
Dauphin,M40ii,M. alpina,R1,S
Dauphin,M40iii,M. ambigua,R1,S
Dauphin,M39i,M. elongata,R1,S
Dauphin,M56ii,M. elongata,R6,S
Dauphin,M55i,M. exigua,R6,S
Dauphin,M32ii,M. gamsii,V1,S
Dauphin,M32iv,M. elongata,V1,S
Dauphin,M32v,M. elongata,V1,S
Dauphin,M31i,M. elongata,V1,S
Dauphin,M31iv,M. elongata,V1,S
Dauphin,M31vii,M. elongata,V1,S
Dauphin,M31viii,M. elongata,V1,S
Lancaster ,M59i,M. elongata,R8,S
Lancaster ,M59iii,M. gamsii,R8,S
Lancaster ,M2iii,M. elongata,V1,S
Lancaster ,M2iv,M. alpina,V1,S
Lancaster ,M1iii,M. elongata,V1,S
Lancaster ,M1vi,M. elongata,V1,S
Lebanon,M50ii,M. alpina,R6,S
Lebanon,M47i,M. elongata,R6,S
Lebanon,M14ii,M. ambigua,V1,S
Lebanon,M14v,M. elongata,V1,S
Lebanon,M16i,M. elongata,V1,S
Lebanon,M16iii,M. elongata,V1,S
Lebanon,M13ii,M. elongata,V1,S
Lebanon,M13iv,M. elongata,V1,S
Lebanon,M15iii,M. elongata,V1,S
Lebanon,M15v,M. elongata,V1,S
McKean,S63i,M. alpina,ST,N
McKean,S63iii,M. elongata,ST,N
McKean,S65i,M. elongata,ST,N
McKean,S65ii,M. gamsii,ST,N
McKean,S65iv,M. elongata,ST,N
McKean,S65v,M. elongata,ST,N
McKean,S68i,M. elongata,ST,N
McKean,S68ii,M. elongata,ST,N
McKean,S68iii,M. gamsii,ST,N
Mercer,M58iii,M. elongata,R8,W
Mercer,M57i,M. exigua,R8,W
Northumberland,M52i,M. exigua,R8,S
Northumberland,M52ii,M. elongata,R8,S
Northumberland,M51ii,M. elongata,R8,S
Northumberland,M51iii,M. alpina,R8,S
Northumberland,M6vi,M. exigua,V1,S
Northumberland,M5vi,M. exigua,V1,S
Northumberland,M5vii,M. elongata,V1,S
Northumberland,M5x,M. elongata,V1,S
Perry,M76i,M. exigua,PH,S
Perry,M76ii,M. elongata,PH,S
Perry,M67ii,M. exigua,PH,S
Perry,M75i,M. exigua,PH,S
Perry,M75ii,M. exigua,PH,S
Perry,M29i,M. ambigua,R1,S
Perry,M29iii,M. ambigua,R1,S
Perry,M41i,M. elongata,R6,S
Perry,M41ii,M. gamsii,R6,S
Perry,M8xi,M. elongata,V1,S
Perry,M8xii,M. elongata,V1,S
Perry,M7iv,M. elongata,V1,S
Perry,M7vi,M. elongata,V1,S
Snyder,M36ii,M. exigua,R1,S
Snyder,M36v,M. gamsii,R1,S
Snyder,M35ii,M. elongata,R1,S
Snyder,M35iii,M. zonata,R1,S
Snyder,M35iv,M. elongata,R1,S
Snyder,M35vi,M. gamsii,R1,S
Snyder,M44iv,M. elongata,R6,S
Snyder,M43iv,M. exigua,R6,S
Snyder,M43vi,M. alpina,R6,S
Snyder,M18v,M. ambigua,V1,S
Snyder,M18vii,M. elongata,V1,S
Snyder,M17v,M. elongata,V1,S
Snyder,M17vi,M. alpina,V1,S
Somerset,S71i,M. elongata,ST,W
Somerset,S71iii,M. gamsii,ST,W
Somerset,S71iv,M. gamsii,ST,W
Somerset,S74iv,M. elongata,ST,W
Somerset,S79ii,M. elongata,ST,W
Tioga,M70ii,M. exigua,R8,N
Tioga,S43i,M. sarnyensis,ST,N
Tioga,S43iii,M. alpina,ST,N
Tioga,S46ii,M. alpina,ST,N
Tioga,M22ii,M. alpina,V1,N
Tioga,M21ii,M. alpina,V1,N
